app_id;Qtd_Loads;Qtd_Stores;Qtd_Joins;Qtd_ApplyMaps;Qtd_Residents;Qtd_Ifs;Qtd_Fors;Qtd_Whiles
Extrator_Categorização_Meta_Mes;1;11;56;0;38;66;69;2
Extrator_Cliente _New;2;2;0;0;4;19;10;0
Extrator_Cliente;1;1;0;0;0;2;10;0
Extrator_CloseUP_Sftp;4;4;0;0;1;1;13;1
Extrator_CM_PERPAVG_COST_v2_Reprossar;151;125;150;0;250;27;10;1
Extrator_CM_PERPAVG_COST_v2;26;6;6;0;10;3;10;1
Extrator_Cockpit_Venda;0;3;0;0;2;1;15;0
Extrator_Coletor_Dados;9464;169;16;0;61;26;16;1
Extrator_Compras;178;46;58;0;36;9;688;2
Extrator_Consulta_Balcao;4;1;4;0;5;5;11;0
Extrator_Contratos;0;4;7;0;5;2512;16;1
Extrator_Cota;3;2;0;0;2;5;11;0
Extrator_Cria_Margem_FP;57;6;20;0;8;270;12;0
Extrator_Cria_Margem_new;246;15;262;0;141;535;11;6
Extrator_Cria_Margem;51;6;98;0;53;201;11;3
Extrator_Cross;2;2;0;0;0;2;10;0
Extrator_CSI_CARTEIRA_DIGITAL - Pix_Ecomm;16;30;15;0;30;1;239;0
Extrator_CSI_CARTEIRA_DIGITAL_New;1;30;0;0;15;31;161;0
Extrator_CSI_CARTEIRA_DIGITAL;76;45;60;0;45;61;161;2
Extrator_CSI_CARTOES;5;6;0;0;2;3;24;0
Extrator_CSI_Convenio;71;37;60;0;33;1;10;1
Extrator_CSI_Delivery_Ecommerce;19;1;0;0;0;20;11;0
Extrator_CSI_FORMA_PAGAMENTO_Atual;2;1;0;0;0;3;11;1
Extrator_CSI_FORMA_PAGAMENTO;6;5;0;0;0;11;15;1
Extrator_CSI_GERAL ME - Copy;1078;282;634;0;152;3327;471;30
Extrator_CSI_GERAL ME;121;21;25;0;7;440;36;1
Extrator_CSI_GERAL_Agregacao_App_Meu_Viva_Saude;0;1;0;0;0;1;13;0
Extrator_CSI_GERAL_Dia_Anterior_Agregacao_App_Meu_Viva_Saude;0;1;0;0;0;1;13;0
